"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/GoogleVRController/ControllerBaseMaterial.ControllerBaseMaterial","0","0","8","1","0.000000","0","0"
"/GoogleVRController/LaserPlaneMaterial.LaserPlaneMaterial","0","0","16","1","0.000000","0","0"
"/GoogleVRController/ControllerRetMaterial.ControllerRetMaterial","0","0","8","1","0.000000","0","0"
"/GoogleVRController/GazeReticleMaterial.GazeReticleMaterial","0","0","16","1","0.000000","0","0"
"/GoogleVRController/TooltipTextMaterial.TooltipTextMaterial","0","0","30","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/VirtualReality/Materials/M_BaseMaterial.M_BaseMaterial","0","0","33","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/Hands/Models/HandMat.HandMat","0","0","24","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/VirtualRealityObjectPickup/Meshes/MediumBlockColor.MediumBlockColor","0","0","12","1","0.000000","0","0"
"/Game/Geometry/M_Texture_Atlas.M_Texture_Atlas","0","0","21","1","0.000000","0","0"
"/Game/Yellow_Block.Yellow_Block","0","0","12","1","0.000000","0","0"
"/Game/wood_0019_base_color_4k_Mat.wood_0019_base_color_4k_Mat","0","0","21","1","0.000000","0","0"
"/Game/wood_0015_base_color_4k_Mat.wood_0015_base_color_4k_Mat","0","0","21","1","0.000000","0","0"
"/Game/Green_Block.Green_Block","0","0","12","1","0.000000","0","0"
"/Game/Blue_Block.Blue_Block","0","0","12","1","0.000000","0","0"
"/Game/VirtualReality/Materials/M_ArcEndpoint.M_ArcEndpoint","0","0","40","1","0.000000","0","0"
"/Game/VirtualReality/Materials/M_TeleportPreviews.M_TeleportPreviews","0","0","10","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Engine/EditorMaterials/WidgetMaterial_Z.WidgetMaterial_Z","0","0","8","1","0.000000","0","0"
"/Vive_Tracker_Data/Materials/TrackerMaterial.TrackerMaterial","0","0","12","1","0.000000","0","0"
"/LeapMotion/Mesh/TwoToneHandMaterial.TwoToneHandMaterial","0","0","24","1","0.000000","0","0"
"/LeapMotion/Mesh/Lamb_LowPolyHand.Lamb_LowPolyHand","0","0","24","1","0.000000","0","0"
"/Game/wood_0015_4k_3A3SvU/wood_0015_ao_4k_Mat.wood_0015_ao_4k_Mat","0","0","21","1","0.000000","0","0"
"/Game/VirtualRealityObjectPickup/Meshes/SideWallMaterial.SideWallMaterial","0","0","21","1","0.000000","0","0"
"/Game/VirtualRealityObjectPickup/Meshes/CenterBarrierMaterial.CenterBarrierMaterial","0","0","21","1","0.000000","0","0"
"/Game/VirtualRealityObjectPickup/Meshes/BottomMaterial.BottomMaterial","0","0","21","1","0.000000","0","0"
"/Game/VirtualReality/Materials/M_SplineArcMat.M_SplineArcMat","0","0","20","1","0.000000","0","0"
"/Game/VirtualReality/Mannequin/Character/Materials/M_HandMat.M_HandMat","0","0","24","1","0.000000","0","0"
"/Game/VirtualReality/Materials/GenericHMDMaterial.GenericHMDMaterial","0","0","12","1","0.000000","0","0"
"/Game/Hands/Models/HandMatSkel.HandMatSkel","0","0","24","1","0.000000","0","0"
"/Game/Hands/Models/HandMatPose.HandMatPose","0","0","24","1","0.000000","0","0"
"/Game/Geometry/CubeMaterialOverride.CubeMaterialOverride","0","0","21","1","0.000000","0","0"
"/Game/bamboo-wood-semigloss-normal_Mat.bamboo-wood-semigloss-normal_Mat","0","0","21","1","0.000000","0","0"
"/Game/bamboo-wood-semigloss-albedo_Mat.bamboo-wood-semigloss-albedo_Mat","0","0","21","1","0.000000","0","0"
